date,mention,score,Color
2022-11-12 00:00:00-06:00,2215,-0.004612500000000002,red
2022-11-13 00:00:00-06:00,3482,-0.013837499999999997,red
2022-11-14 00:00:00-06:00,5571,-0.03626666666666666,red
2022-11-15 00:00:00-06:00,4962,-0.21196666666666666,red
2022-11-16 00:00:00-06:00,5006,-0.1097875,red
2022-11-17 00:00:00-06:00,5448,-0.0511125,red
2022-11-18 00:00:00-06:00,5797,0.001441666666666665,green
2022-11-19 00:00:00-06:00,1665,-0.059491666666666665,red
2022-11-20 00:00:00-06:00,3088,0.022237500000000004,green
2022-11-21 00:00:00-06:00,4968,-0.021204166666666666,red
2022-11-22 00:00:00-06:00,6623,0.001320833333333336,green
2022-11-23 00:00:00-06:00,5017,-0.22459565217391306,red
2022-11-24 00:00:00-06:00,3726,-0.06517826086956521,red
2022-11-25 00:00:00-06:00,4970,-0.17196250000000002,red
2022-11-26 00:00:00-06:00,2216,-0.2930875,red
2022-11-27 00:00:00-06:00,4472,-0.08090833333333333,red
2022-11-28 00:00:00-06:00,10394,-0.44750416666666665,red
2022-11-29 00:00:00-06:00,8647,-0.35581666666666667,red
2022-11-30 00:00:00-06:00,6994,-0.20594583333333336,red
2022-12-01 00:00:00-06:00,8419,-0.180775,red
2022-12-02 00:00:00-06:00,6612,0.15755833333333333,green
2022-12-03 00:00:00-06:00,2337,-0.17497916666666669,red
2022-12-04 00:00:00-06:00,5445,-0.11839583333333333,red
2022-12-05 00:00:00-06:00,9819,-0.1671125,red
2022-12-06 00:00:00-06:00,12622,-0.3583958333333333,red
2022-12-07 00:00:00-06:00,8773,-0.22554166666666667,red
2022-12-08 00:00:00-06:00,7584,0.15308695652173912,green
2022-12-09 00:00:00-06:00,7550,0.016291666666666666,green
2022-12-10 00:00:00-06:00,4680,-0.2107375,red
2022-12-11 00:00:00-06:00,6018,0.0117875,green
2022-12-12 00:00:00-06:00,6051,-0.04794999999999999,red
2022-12-13 00:00:00-06:00,6161,-0.015058333333333333,red
2022-12-14 00:00:00-06:00,5430,-0.09505416666666668,red
2022-12-15 00:00:00-06:00,5910,-0.13491739130434782,red
2022-12-16 00:00:00-06:00,7873,-0.08204166666666668,red
2022-12-17 00:00:00-06:00,2221,-0.30626521739130436,red
2022-12-18 00:00:00-06:00,2255,-0.19347826086956524,red
2022-12-19 00:00:00-06:00,4751,-0.2882772727272727,red
2022-12-20 00:00:00-06:00,6271,-0.1305375,red
2022-12-21 00:00:00-06:00,6919,-0.16641666666666666,red
2022-12-22 00:00:00-06:00,6063,-0.14190833333333333,red
2022-12-23 00:00:00-06:00,6351,-0.20185833333333333,red
2022-12-24 00:00:00-06:00,2802,-0.15346666666666667,red
2022-12-25 00:00:00-06:00,3128,-0.07394583333333334,red
2022-12-26 00:00:00-06:00,4626,-0.10331304347826087,red
2022-12-27 00:00:00-06:00,7618,-0.2096,red
2022-12-28 00:00:00-06:00,8056,-0.3700818181818182,red
2022-12-29 00:00:00-06:00,7373,-0.18009999999999998,red
2022-12-30 00:00:00-06:00,4091,-0.049542857142857145,red
2022-12-31 00:00:00-06:00,1177,0.026006666666666668,green
